uploader_name,uploader_mid,uploader_pic,type_id,type_name,link,bvid,title,description,pic,view_count,danmaku_count,favorites_count,tag,review_count,send_date,duration,like_count,pub_seconds_ago
踢踢小鱼,275016013,https://i1.hdslb.com/bfs/face/d2c265060b0a7e2a60cf86bc694c2e5a6f318536.jpg,95,数码,http://www.bilibili.com/video/av114675559698215,BV1x7Muz3Eiv,大耳狗重度依赖！三丽鸥边框的LivePhoto谁能抵抗得住啊啊｜vivo S30 Pro mini,vivo S30 Pro mini自拍真是让我眼前一亮又一亮！！,//i2.hdslb.com/bfs/archive/22c92b592ed0419839109061fc106c61202719de.jpg,214826,216,619,"摄影,体验,评测,大耳狗,三丽鸥,边框,vivo,LivePhoto,vivo S30 Promini",200,1749813855,520,2769,1698506
懒狗小黑,516185777,https://i2.hdslb.com/bfs/face/5a6247121387afddac20661d8fd5e97f98ef3808.jpg,95,数码,http://www.bilibili.com/video/av113999068798812,BV1Z6KFeTEfR,或许是国补，最值的手机,"把我爸我妈我自己的名额都用上国补之后，买下来觉得，魅族21 Pro 真的性价比太高了...

但如果只看颜值，一切好说，具体到配置的话，就有点复杂了

视频里的谷歌相机，只需要后台私信我「谷歌相机」，就可以获取了！具体的教程可以翻一下我在 24 年 的动态视频～",//i0.hdslb.com/bfs/archive/864b3aff86c1e9998df454e193fb4b12f0f52630.jpg,1247267,3235,4736,"手机,魅族,国补,iqooneo10,懒狗小黑,魅族21Pro,魅族21,红米K80,国补手机,哔哩哔哩影像纪",3962,1739628836,543,17131,11883525
周周Fantastic,1079598477,https://i0.hdslb.com/bfs/face/36966f599fe681dbdeb4ca40fb57388c5a970d99.jpg,95,数码,http://www.bilibili.com/video/av114550435289016,BV18NJnzuEkV,OPPO Reno14的光影日记，手机镜头下的城市呼吸,它是清晨第一缕阳光的捕捉者，是旅行路上代替单反的灵感捕手......今天，我想抛开参数包装，和你聊聊一部让我心动的手机。,//i0.hdslb.com/bfs/archive/8ff8d8288d1c9cfa1a1095aff9b78bfef434061b.jpg,277126,243,1804,"武汉,摄影,摩天轮,iPhone,livephoto,citywalk,OPPO Reno14",216,1747902391,221,8093,3609970
Bigger研究所,32598708,https://i0.hdslb.com/bfs/face/093096909a4c788cb8fec4808e902e9d70da9e61.jpg,95,数码,http://www.bilibili.com/video/av114545100066326,BV18RJBzZEAt,让老家电也智能起来！小度智能屏，智能家居届的六边形战士！,小度智能屏开箱测评！智能家居届的六边形战士？今儿咱们就来看看，它和小米智能家庭屏Mini，谁才是年轻人智能生活的终极选择？大家可以去某东搜索“小度智能屏”，一起感受下小度智能屏带来的便利吧～,//i1.hdslb.com/bfs/archive/393398db1760c9509838b32d4234eeca13363b7d.jpg,246599,162,952,"科技,数码,智能,测评,开箱,智能家居,小度,数码新品,智能屏,小度智能屏",175,1747823064,515,3877,3689297
算法大师兄,1784235102,https://i0.hdslb.com/bfs/face/d03564e88d9413e9017ba01653b148153adb3770.jpg,231,计算机技术,http://www.bilibili.com/video/av114657406748057,BV1Y7TCzLEWq,这谁设计的游戏？也太难玩了……,完整版：https://www.bilibili.com/video/BV1D2TgzjEKc,//i1.hdslb.com/bfs/archive/c6035033984fc59de42d886e065a10fe642db9d8.jpg,569430,3,6180,"计算机,科技科普,零代码,科技猎手,轻游梦工坊,科技猎手2025·1.0计划,轻游梦工坊全国游戏创作大赛",18,1749813623,126,1220,1698738
UC-浏览器,2135225691,https://i0.hdslb.com/bfs/face/158edd27f71513e934426dee38f842781def6a51.jpg,230,软件应用,http://www.bilibili.com/video/av114755033374590,BV1LdKqzwEvB,这是可以出现的嘛,,//i2.hdslb.com/bfs/archive/9f5b6740d9329c1be2b8ad5a65887859932d6dce.jpg,98505,78,886,"测试,记录,生活记录",215,1751024862,18,3080,487499
YLK-突袭者,1656217791,https://i0.hdslb.com/bfs/face/36247b6b42dc0e19b19960617c4dc10c11b38112.jpg,95,数码,http://www.bilibili.com/video/av114642760307460,BV1tjT2zCEek,你还记得当年轰动全网的事情吗？#华为公司#手机#黑历史#科技与狠活#,-,//i2.hdslb.com/bfs/archive/510b967665e4fd2b816b29437b924c57b6febb25.jpg,189965,278,1615,"历史,科技,华为手机,全网,必剪创作,科技与狠活",2424,1749953385,84,6478,1558979
果果姐姐呢,240422823,https://i0.hdslb.com/bfs/face/5cdb6dd2ce3cee1ace3f759f7da9b0dd5f68ebad.jpg,95,数码,http://www.bilibili.com/video/av114484148439996,BV1dSVZz3EMT,老天爷啊!喜欢粉色苹果手机真的是十恶不赦吗,老天爷啊!喜欢粉色苹果手机真的是十恶不赦吗,//i0.hdslb.com/bfs/archive/e332fe1a4ff75d82a9476edf0853bd7aef1f4ece.jpg,469508,114,31626,"学习,记录,生活记录",300,1746890082,98,9144,4622282
手工耿,280793434,https://i1.hdslb.com/bfs/face/b8a75ae7d2a0e2af1d36ca9f1084d850eebb28e3.jpg,233,极客DIY,http://www.bilibili.com/video/av1504827513,BV1UD421G7gQ,是时候升级下装备了，一个工作台就能满足我的诸多需求！,全身+20最能打的神枪手来了，四位勇士还有什么需要强化的，都交给我DNF手游强化王来！ @含亮老师   @曦曦鱼SAKANA  @杨可爱Ukulele  @神奇的老皮 ,//i1.hdslb.com/bfs/archive/e669f866a51cfc05a78a648a0a0bc7c4e8c1ee26.jpg,5447490,14388,18596,"DIY,机械,手工制作,制作过程,dnf手游,DNF手游激励计划,dnf手游今日上线",4435,1716287418,648,283088,35224946
CP神-余忆童稚时,3546587726875602,https://i0.hdslb.com/bfs/face/2040d7d45b21c1588650566cf32212b68f083b7a.jpg,232,科工机械,http://www.bilibili.com/video/av1305105477,BV1cM4m1r7Bs,哪位粉丝兄弟点的包子？趁热吃！,-,//i1.hdslb.com/bfs/archive/7b3ccf361cc653766e4a130bdf5aeb094e843acf.jpg,2318561,525,8456,"粉丝,搞笑,DIY,我爱发明,摄影,摔炮,包子雷,敌后便衣队传奇,搞笑影视片段",647,1716823427,27,133517,34688937
晨钟酱Official,251013709,https://i1.hdslb.com/bfs/face/01f10278933da3c809407a9c07310556103b7f0b.jpg,230,软件应用,http://www.bilibili.com/video/av1106220144,BV1ew4m1Y7jT,价值89元的计算器不能装软件？没关系，我会出手！,在上期视频的评论区，有位粉丝想让我折腾一款长得像计算器的东西，我赶紧去海鲜市场搜了下，发现这东西搭载了安卓系统，而且是联发科的方案，更让我想不到的是，早在一个月就有人想让我去折腾了。那么没问题，本期视频就如粉所愿，给大家看看这个搭载安卓系统的训练机到底能整出哪些活！,//i1.hdslb.com/bfs/archive/4fabf96bf0c845f9989b7f265430b93da6ea98a3.jpg,2617900,4428,39116,"手机,ROOT,刷机,操作系统,Android",2303,1746112927,381,67913,5399437
机械庞克,3546732214356223,https://i1.hdslb.com/bfs/face/16a5ab48a86507ddbea4cfb60f168ce85f2a655d.jpg,232,科工机械,http://www.bilibili.com/video/av114698208937025,BV13VNBzdEkq,减速带！！超酷的机械系列6.17,,//i1.hdslb.com/bfs/archive/18f16337016671c457bff3c68df08c963d872829.jpg,216366,373,322,"机械,科普,知识,制造,解压,机械之美,减速带",89,1750410565,230,4880,1101799
阿木历史,693144340,https://i1.hdslb.com/bfs/face/f4acb26ec2d25fbec199e87e3d1ba805ce42b88b.jpg,232,科工机械,http://www.bilibili.com/video/av880593721,BV1LN4y1W7JS,挑衅越南兵的下场,-,//i0.hdslb.com/bfs/archive/797cd5d25a4219303683f57b8e3066f7130d3745.jpg,4508495,943,24756,"越南,军事,挑衅",1580,1704064543,15,322625,47447821
田同学Tino,4778327,https://i2.hdslb.com/bfs/face/ea39a362e9318ac713c7be1bf45a19128c1f492b.jpg,230,软件应用,http://www.bilibili.com/video/av114703997079506,BV1cFNJzXEH3,我用AI复刻了4399，里面的游戏都能玩！国产Agent还是太超前了,"5399小游戏：https://bzem10ss7b.space.minimax.io/
MiniMax Agent：https://agent.minimax.io/",//i1.hdslb.com/bfs/archive/c19729371180e7de5f94ac7a213b9b4a4fc74981.jpg,231056,112,7014,"4399,人工智能,AI,效率,智能体,办公,网站开发,Agent,AI编程,MiniMax",32,1750254496,153,2317,1257877
金钱豹哔站版,561791371,https://i1.hdslb.com/bfs/face/12d4b5d9dd8917621ab176676c66fb5b70950656.jpg,95,数码,http://www.bilibili.com/video/av114777917494429,BV1AcgXzfE3P,废物 小小的一点都不可爱呢,-,//i1.hdslb.com/bfs/archive/f046a1004d7c888c00e56121898d7c4409dec2fc.jpg,15067,1,1197,"可爱,记录,生活记录",14,1751388919,4,1126,123454
IT咖啡馆,65564239,https://i1.hdslb.com/bfs/face/9d5e047e428b1cb235ab0e60d6371c0808f5c121.jpg,231,计算机技术,http://www.bilibili.com/video/av114759999492070,BV1hEK2zEELL,「Github一周热点77期」AI工具背后的提示词，一体化项目管理工具、终端模拟器、LaTeX替代和备份工具,GitHub 一周热点第76期(2025/06/22 - 6/28），本期内容包括。AI工具背后的提示词，一体化项目管理工具、终端模拟器、LaTeX替代和备份工具。,//i2.hdslb.com/bfs/archive/a639cc37a14e92d40eaf9c0f4c14cfdd9ae6597d.jpg,63304,204,891,"开源,人工智能,AI,项目管理,latex,GitHub,备份工具,终端工具,科技猎手,提示词工程,科技猎手2025·1.0计划",234,1751162381,307,1741,349992
先看评测,483311105,https://i2.hdslb.com/bfs/face/043200dcc7c02a68a9ce5587ba5d1ebd785b27bf.jpg,95,数码,http://www.bilibili.com/video/av790385532,BV1Ay4y1c762,全面对比！全网销量霸榜的人体工学椅，哪款更值得买？,双十一临近，我们作为一个买了上百把椅子，制作了十几款人体工学椅视频的团队，卖了上万把椅子的卖家，这一期视频，我们完全站在用户角度， 扒一扒，这位销量高，热度也非常高的品牌——西昊。,//i0.hdslb.com/bfs/archive/c4a4ec6afef8b8c40929138cddeb6101acf0dfb9.jpg,3898788,1266,29941,"对比,黑科技,体验,评测,椅子,指南,人体工学,全网,西昊,双11“抄级”课代表",3471,1700473198,721,58846,51039175
