"uploader_name","uploader_mid","uploader_pic","type_id","type_name","link","bvid","title","description","pic","view_count","danmaku_count","favorites_count","tag","review_count","send_date","duration","like_count","pub_seconds_ago"
"哇周某人","175333301","https://i2.hdslb.com/bfs/face/a7670c1831893164c62a65a2fa244f337389e748.jpg","121","GMV","http://www.bilibili.com/video/av114023966248879","BV1vqAaeUEL5","“你若似她两分半，我便慌了神！”","纯娱乐整活视频，请不要上升话题～
最近一直在肝视频！快不行了……
制作了很久的一期视频 不想凉了……想让更多人知道鸣潮，想上个推荐，希望路过的你能一键三连吧，感谢大家的支持！
审核辛苦啦！给点流量吧～
【视频素材】：鸣潮2.1版本剧情、鸣潮2.0版本剧情、菲比角色展示PV、菲比角色PV、百变小樱、MOD素材：怮情
【音乐素材】：When the World Ends","//i2.hdslb.com/bfs/archive/1f1480c5aa2e10b558beedd098a77decdee6e985.jpg","383189","1269","12679","二次元,手机游戏,百变小樱,GMV,小樱,菲比,游戏鉴赏家,整活,鸣潮,鸣潮2.1版本二创,鸣潮2.1版本创作激励计划","527","1739880063","50","46893","13164261"
"艾黎ike","11354235","https://i0.hdslb.com/bfs/face/d69d8d311b6280d28e86666f443d25c19a060d19.jpg","121","GMV","http://www.bilibili.com/video/av113253841634845","BV1x31XYLEbw","“优雅！太优雅了！戏命师烬如何评价其他英雄？”","此刻——大幕——渐起","//i0.hdslb.com/bfs/archive/bf3c6c7fc6342f2ce623d8e7e823aef2eb374c2a.jpg","20676","232","184","配音,英雄联盟,台词,GMV,电子竞技,烬,MOBA,英雄联盟S14,国庆游戏乐逍遥,英雄联盟S14征稿活动,适合国庆假期的游戏推荐","53","1728203792","208","722","24840532"
"蒙娜丽鲨鱼","2390163","https://i0.hdslb.com/bfs/face/aff25d08fc993ff1af5c89f48365414b4e172967.jpg","121","GMV","http://www.bilibili.com/video/av114391034893734","BV1A8LezREn7","前方高帅！国漫独一份的打架摇人，这才叫真神仙打架！【苍兰诀第2季】","苍兰诀动画第二季要来啦！","//i0.hdslb.com/bfs/archive/7f98326ddda7fbeb77bc608288c927b2aa6a3594.jpg","119868","11","1122","动画,燃向,神仙,诸神之战,打戏,苍兰诀,苍兰诀动画,苍兰诀第二季","102","1745504899","145","1731","7539425"
"小米酱会发光","238767396","https://i0.hdslb.com/bfs/face/ab87db3e07cde09ba988baaffe57376053d4ee18.jpg","121","GMV","http://www.bilibili.com/video/av1104467807","BV17w4m1Q7MY","“谨此127秒，带你感受仆人阿蕾奇诺的魅力！”","感谢审核大大！审核大大辛苦了~
希望可以有点推荐，播放量可以破个万~希望大家可以看到最后，如果大家喜欢的话，希望可以点一个小小的赞支持一下~","//i2.hdslb.com/bfs/archive/f5fefa8d8566759f2beff5af2485612e505a1e96.jpg","169462","35","9107","MAD,手机游戏,剪辑,GMV,混剪,仆人,米哈游,原神,原神UP主激励计划,阿蕾奇诺","35","1715408753","128","4633","37635571"
"伊零Onezero","293753863","https://i1.hdslb.com/bfs/face/c5affdfc0fd8a32d449756aad5ef7320f0fa1eea.jpg","121","GMV","http://www.bilibili.com/video/av114639169920823","BV1A4T5z2EJg","“全都回来了！这一剪原神他不得恢复至全盛啊！”【宣传片混剪/高燃治愈4K】","游戏名：原神
每个时间段对应的bgm分别为：
0：00~2：49-Fractures
2：50~6：18-Deep End
6：19~9：51-Chance
9：52~12：56-Don&#x27;t Say
每一首bgm都是精挑细选，每一个混剪都是精打细磨很久才完成！
喜欢记得点个关注~你们的三连关注支持是我坚持创作的最大动力！","//i0.hdslb.com/bfs/archive/64b405851efe8b4807a20845ce1601945aec660a.jpg","153765","1310","4484","手机游戏,宣传片,GMV,CG混剪,米哈游,原神,原神高能团,原神UP主激励计划,丝柯克,原神5.7UP主激励计划,你存在的时空","442","1750162353","777","9740","2881971"
"哇周某人","175333301","https://i2.hdslb.com/bfs/face/a7670c1831893164c62a65a2fa244f337389e748.jpg","121","GMV","http://www.bilibili.com/video/av114273443448402","BV1DaZmYzEft","顶级中式恐怖，被这张脸拿捏了！“再入轮回，投个好胎”","来感受下这几部志怪作品的中式恐怖吧！
【视频素材】：：《代号界》、《天官赐福》、《百妖谱》、《鹅鹅鹅》、《大理寺日志》……
【音乐素材】：魔鬼无罪——尹昔眠 排：小法师Catherine","//i1.hdslb.com/bfs/archive/c36d83e5d253b1b6f91769a6110122509290b3b6.jpg","137300","371","2064","古风,GMV,志怪,大理寺日志,天官赐福,游戏鉴赏家,推荐宝藏游戏,游戏轻剪辑,代号界,代号界全新孟婆PV","81","1743879446","119","6873","9164878"
"是子梦君o","435755604","https://i0.hdslb.com/bfs/face/320e8d88d0ad27674c0ef78dececc3ea80c484af.jpg","121","GMV","http://www.bilibili.com/video/av1456356626","BV1Ai421a7vc","《全是他宝贝的冥场面 椒椒！我不做人了》","","//i1.hdslb.com/bfs/archive/9ee9e9553dfae6e27225ee0cc075b7c1ed205e82.jpg","323414","118","7108","MAD,手机游戏,配音,GMV,名场面,斯科特,米哈游,崩坏：星穹铁道,崩坏星穹铁道剧情,崩坏：星穹铁道创作者激励计划,崩坏星穹铁道2.4创作者激励计划","166","1722851166","94","12644","30193158"
"永远的我的鸟笼Me","10773628","https://i1.hdslb.com/bfs/face/467c59cf5001a2db9f14df6d556741eb0dd86416.gif","121","GMV","http://www.bilibili.com/video/av114669318572201","BV11xMwzQETG","用动漫OP的方式打开丝柯克！【原神/Brave Shine】","BGM：Aimer - Brave Shine","//i2.hdslb.com/bfs/archive/141eb59ee297298615db9a696d7f6a64440be38e.jpg","190616","2120","7779","MAD,手机游戏,GMV,混剪,米哈游,原神,原神UP主激励计划,丝柯克,原神5.7UP主激励计划","334","1749737440","92","22388","3306884"
"烽火湛蓝","7594110","https://i0.hdslb.com/bfs/face/10460699de71d0e40ec630b42eb0ab0dfb909fbd.jpg","121","GMV","http://www.bilibili.com/video/av113084140096033","BV1SApMepE8M","“可惜你不玩游戏，不懂这个视频的含金量！”","BGM：Barricades
视频修改了一下，希望能有一点点正反馈吧，累了。","//i0.hdslb.com/bfs/archive/fe81b4a5eaa3e313457d05e0acc2dcd055ed623f.jpg","551282","2059","49327","英雄联盟,GMV,高燃,混剪,第五人格,明日方舟,原神,鸣潮,重返未来1999,崩坏：星穹铁道","2606","1725614329","127","98663","27429995"
"白色的橘猫","267940121","https://i2.hdslb.com/bfs/face/54ddd0804d1670a18623e0ef79c0e82d6cc3d311.jpg","121","GMV","http://www.bilibili.com/video/av114080505464181","BV1LJ9uY8ERZ","“是成为遗憾才能让人念念不忘吗？”","素材：二重螺旋相关CG，BGM：Brave Shine

现在做混剪的流量都不高，希望路过的你能点一个免费的赞吧！

如果不行的话，也请看完吧，相信一定不会让你失望的！","//i0.hdslb.com/bfs/archive/aab1cdb92a14539738fbb5cd04b343463f7d447f.jpg","118632","73","878","MAD,游戏,手机游戏,GMV,混剪,手游,CG混剪,二重螺旋,赛琪,二重螺旋狩夜测试","87","1740807516","93","1151","12236808"
